,region,ss_z,ss,ss_k,ss_null,ss_null_mean,ss_null_std,N
0,VISp,8.951492849616507,0.19214096089088759,5,"[0.11290974172703361, 0.10444924648609805, 0.11246472102692717, 0.1187070371899687, 0.10832489392586316, 0.11155009275178747, 0.12875407488337007, 0.11886411316009106, 0.11132028086126534, 0.11488112970164202, 0.11475060657486195, 0.12579375856951963, 0.1145118638210342, 0.11044153215024072, 0.115783888360576, 0.11902646328371312, 0.11865499929610923, 0.12902494731281078, 0.13532891015547624, 0.1321856442833845, 0.12625488343528044, 0.130214192394837, 0.11441329148326541, 0.12364242801906863, 0.11261121702050764, 0.1083203513399588, 0.1318523817448069, 0.1242173813757577, 0.10410829094725967, 0.10073561185050847, 0.12664451155344675, 0.11061916580761244, 0.10907362343341527, 0.12831161682012435, 0.11318366776072632, 0.13711515433927005, 0.12665363309638572, 0.12311486093033015, 0.12654739611117063, 0.11250279891779263, 0.11037643501547291, 0.12045666639412973, 0.12231899667486237, 0.12202879937468225, 0.10980948014547648, 0.12519371666076978, 0.12173977621827854, 0.11366131067210548, 0.1281631164460415, 0.12870943716485977, 0.12846342856971066, 0.11970809746086655, 0.11626888831557404, 0.114166130211377, 0.11923230390369167, 0.13209856726972063, 0.1152021073027045, 0.12259788834160834, 0.11577358572037513, 0.1272450555361185, 0.11903131171248746, 0.12135906340691535, 0.10200768743092703, 0.11073212800365839, 0.11683167824596644, 0.12246422583174979, 0.11601939965860862, 0.12432315809076873, 0.1222011237313882, 0.12002136686724846, 0.124116849968927, 0.12426006378347436, 0.1313113462511991, 0.09989375117687604, 0.12363707012092436, 0.10832547373273324, 0.11067783738445679, 0.13057301782509226, 0.11692197703659817, 0.12525008037384763, 0.12334108160027657, 0.10204937562790524, 0.11343852945085947, 0.11255686333279358, 0.11958755387850474, 0.11566093154930542, 0.12497112787437115, 0.1072248205565295, 0.10920464317837386, 0.12591923824177706, 0.107977636835266, 0.1173220301663317, 0.1183788226093645, 0.10899531763305832, 0.11316543463346766, 0.131767629009821, 0.11900325267812044, 0.11141940289469585, 0.125879218098905, 0.11444688124444435]",0.11853346593029743,0.008222929537808165,132
1,AUDp,7.613967205241311,0.20921427189209515,3,"[0.14314373705756245, 0.13056459856233418, 0.15078620943156315, 0.14723907218348495, 0.12782003321263707, 0.12363360605394536, 0.1190960412528043, 0.13195206998153897, 0.12442973045084685, 0.14861980263803615, 0.12951515809186256, 0.13277896369856168, 0.1395066673773638, 0.15863947463780076, 0.14556956694812023, 0.1300534961461671, 0.12231162742056867, 0.1314005066478604, 0.14823902091835858, 0.12638716862252325, 0.13040289198983013, 0.15820373693138973, 0.12817668375282004, 0.1434488182541887, 0.1360134252266821, 0.1252337982750858, 0.13321595554289864, 0.1303658150544776, 0.14048605120020408, 0.12849424461566653, 0.13424159794013865, 0.1223713696812412, 0.11546967998683023, 0.1293288514616759, 0.13248700679180492, 0.14017463991375498, 0.12710608239803683, 0.13368514717120508, 0.1419028673286507, 0.14069694667358115, 0.13932979385148794, 0.13236326168043602, 0.14667289886862156, 0.14018787922740553, 0.12591632398013183, 0.12300140491408915, 0.1447837009180459, 0.1296641911748151, 0.133263014093349, 0.13087132226924275, 0.1272248412256955, 0.14998874611977675, 0.13454492457426165, 0.15279782130257616, 0.11895578959455953, 0.1372285642869543, 0.13800640368551012, 0.12635390790008605, 0.11534073625850444, 0.15285090036231752, 0.14663157082532818, 0.12818372419794383, 0.13561371074036538, 0.13626134378600507, 0.11971305165927056, 0.12465853031357273, 0.1276778112977525, 0.1268360861113583, 0.12867280681446785, 0.12182148249304768, 0.13018480062743246, 0.1360596934666589, 0.13675265761570446, 0.12728852439198635, 0.13621952631835313, 0.1560338689064045, 0.15145212149298454, 0.1527452982965187, 0.12432435096544624, 0.12817596358008784, 0.11858004089713908, 0.12432222578558978, 0.13687890846087344, 0.12204430787508422, 0.13294198848894537, 0.11604359856297211, 0.12273935337270821, 0.13856538781656175, 0.11937570154970488, 0.13445223904140544, 0.132701443501453, 0.13967539519047933, 0.13128808060276134, 0.1358036214988788, 0.12809528483810995, 0.13441302430598406, 0.14006692570476637, 0.1420875636174265, 0.14260439065116912, 0.1363854762335949]",0.13386910469708269,0.009895651657541457,141
2,SSp-n,17.371154549002163,0.27938428025404816,3,"[0.12419024090365509, 0.11210826456072458, 0.10631527723145787, 0.12066722206339901, 0.11397334748496943, 0.11982054500462706, 0.12306171472505864, 0.1279340627046114, 0.13190939598331045, 0.13060896931004656, 0.12203920267505289, 0.10296620054247327, 0.11716475730413614, 0.13913724490558638, 0.10990987293275274, 0.11103865559493568, 0.12666032890029397, 0.11160757104461191, 0.11028960285004241, 0.12467354132606756, 0.12031760492584018, 0.10903769502617008, 0.11996145648173355, 0.1231571864178835, 0.12208226570850567, 0.12455046590642911, 0.09866152228244957, 0.11939781255927404, 0.11526302633567095, 0.12002273400544805, 0.1171835239711247, 0.11389644800989304, 0.11928219496968395, 0.12007941575693697, 0.13508377679165856, 0.12169678238918129, 0.1333456957472988, 0.12809736208916095, 0.11557737538733226, 0.10842094147870411, 0.12797631184739916, 0.1285893014994471, 0.12060908457934683, 0.12155896523478368, 0.14260001454678262, 0.11273999418072075, 0.1361894986450376, 0.1337597975403482, 0.12833661057041992, 0.11945336576607679, 0.10818658837760724, 0.12780381595876084, 0.1283039680604557, 0.12669080705208594, 0.12341138811182342, 0.12222829016582595, 0.12516245731110784, 0.11591713086338265, 0.12080502576468685, 0.11854381727325984, 0.12765721627659393, 0.12954566913759738, 0.11726148516291927, 0.12953856998470886, 0.11359067225592714, 0.11860799113518532, 0.1137496504213685, 0.11875017822361093, 0.13273572277590767, 0.12796973148879037, 0.11125156519763228, 0.10013864749617993, 0.10195212389135803, 0.11195154160749032, 0.10953894870887386, 0.13405625218032194, 0.11289631811753549, 0.12175048597534807, 0.12419046004051519, 0.12241992237603685, 0.12106489067339576, 0.11644926307578314, 0.1225886461966812, 0.12282230523033277, 0.1384501003564826, 0.12272088752395498, 0.13913300853854374, 0.11937006183552654, 0.1268049821287061, 0.12232439330753715, 0.11024362868153101, 0.11806316694875792, 0.10202421722938784, 0.13536204488515363, 0.12911079902903042, 0.10529244115350575, 0.12966229173977145, 0.1130657619739911, 0.11170587590264662, 0.12270208653005335]",0.12068571543032224,0.009135752282673801,160
3,SSp-m,2.6735343358736214,0.12225127464539341,3,"[0.11278357085755207, 0.11766175438275679, 0.10042121799689928, 0.10390285042012586, 0.10633948863048712, 0.09945484714487318, 0.10197641159097412, 0.10474820051251706, 0.10114044195048512, 0.11105227940179872, 0.10375086118061237, 0.11674866465529893, 0.09940076549547687, 0.09558070674340498, 0.10550880715374501, 0.09953705616222493, 0.10838915414305327, 0.09781352406298488, 0.09300163536579353, 0.09760079530082945, 0.1002049832258701, 0.099465125540239, 0.0998601114837059, 0.09581169397635768, 0.09832367028620326, 0.09839815312961857, 0.11109830289031565, 0.11196821433272423, 0.10204506009646433, 0.09722661438437527, 0.09786843905324663, 0.10753125003369622, 0.11057515166475655, 0.09836154648206373, 0.10532617141326228, 0.10945507346675033, 0.11095657742798676, 0.11121707114881792, 0.1080948635768475, 0.10580605833081877, 0.11407440790784834, 0.11729327002245331, 0.10208199998442737, 0.1080922602533631, 0.0958218916990817, 0.11296022352971458, 0.09030398625356066, 0.10299082444843989, 0.09990191004325445, 0.10382226775259651, 0.09794109810163037, 0.09481688268753677, 0.09675956419295144, 0.10076892841877202, 0.0922146367489619, 0.11923942331155327, 0.11306983251715952, 0.11491304158965186, 0.11382619402534319, 0.09632268834763442, 0.10893587688806997, 0.10372462097410678, 0.10973899704635705, 0.1024641970911947, 0.10355326692444186, 0.11057076247222854, 0.11033267811714363, 0.10516951173069218, 0.09892623589543739, 0.10909137419272194, 0.09822028317979886, 0.10504143730863011, 0.11072035949411084, 0.10131664037989196, 0.09814885201711737, 0.10033016729701412, 0.10594445365028689, 0.10636012022585435, 0.10217981220469889, 0.10062753571877044, 0.11251925486473775, 0.11603948346012417, 0.09870011336165345, 0.10979429148661583, 0.11339110984350215, 0.10531396772134222, 0.10000547795216623, 0.10693041232288299, 0.10296652632338592, 0.10862866914052996, 0.10819983925076862, 0.10848024571051636, 0.10582029676067893, 0.11432999205224849, 0.11508056496310179, 0.1122769383228356, 0.10570302231953035, 0.10133896158710642, 0.09337545279099826, 0.09496551456337352]",0.10468879814538616,0.00656901101450355,465
4,SSp-bfd,0.6837446873407855,0.1350651622077584,3,"[0.11435495743825912, 0.11863638328950042, 0.1250860102973768, 0.11653975032775736, 0.13626281211895244, 0.13846943330950565, 0.12012760228579446, 0.10478446314213752, 0.11233028749222725, 0.12058601732194893, 0.1249000234061012, 0.12820799318346615, 0.1288380744810216, 0.1347899485506641, 0.13875342273602403, 0.1332530852610683, 0.13426003592277042, 0.1280088331755157, 0.14063744714579898, 0.13033024811467908, 0.10615615726554271, 0.12137421374756054, 0.12843396009159885, 0.1268163066948198, 0.12164102254078596, 0.13243401809480967, 0.14113588927951665, 0.13009552902882907, 0.12475440647847244, 0.13418604358784192, 0.12199003330092086, 0.14194987831675843, 0.1441098911315677, 0.13029738210350422, 0.13849275983214654, 0.14813637332177945, 0.13547429119018742, 0.12255842093360565, 0.1149677843061571, 0.13517548857864897, 0.13897986101970644, 0.14141499062631901, 0.1384469331016643, 0.11352476081066977, 0.10900130394792856, 0.11873947393839357, 0.123114584248026, 0.13794230164592822, 0.12597033887526868, 0.12574719961261432, 0.12875432484495977, 0.12058073059499509, 0.12179803753000408, 0.12871319190864375, 0.12243744965486378, 0.14479570348640503, 0.13067815047939074, 0.1431779662648187, 0.13683108141630618, 0.10851957506500248, 0.13214209758055526, 0.1421803550153722, 0.12034157982438486, 0.13240258851945663, 0.10779409885062982, 0.13357884569764636, 0.11820307253774207, 0.1209392234484191, 0.12483349081356361, 0.13166331894726566, 0.12876028214257587, 0.13672176223934324, 0.14444384654404308, 0.12497123418855134, 0.14652594864114518, 0.11170561881159867, 0.1266627698430359, 0.13262932440158243, 0.11313634905057396, 0.1223370571046656, 0.12130474222865532, 0.1338560384861324, 0.11762077678243912, 0.13424719444095223, 0.1244586930444298, 0.13044686886258564, 0.1298979774050313, 0.12858570688641685, 0.1355425197962841, 0.13541833129794775, 0.1260454235282721, 0.14140672027508547, 0.1284898497150964, 0.1281133898962532, 0.13567460882211174, 0.1387828328853033, 0.11301279043138344, 0.13311861801619362, 0.13930390763913114, 0.10735694191393233]",0.12823161434453323,0.0099942975642007,185
5,SSs,3.7454105972522105,0.14697912022676243,3,"[0.1174642036313031, 0.1516881169576764, 0.11692748768203229, 0.12719442137048032, 0.11164931394291062, 0.11981566729706555, 0.1177126795172306, 0.1339425606411158, 0.11191958540500628, 0.12679136484768777, 0.12632279585124945, 0.12454366095464377, 0.11940951980949094, 0.12430743916935393, 0.11092938744947496, 0.11640936836247832, 0.11522506496519455, 0.11123082931440999, 0.1268459258746472, 0.12002850518417196, 0.12219944844082525, 0.12177875499558807, 0.12840684085044088, 0.11001591295541896, 0.12408752418726145, 0.1191758161399858, 0.12329437107020613, 0.1270683429678144, 0.13035437579149622, 0.10963275691928173, 0.11762529901025182, 0.12241306639197065, 0.12770965594245795, 0.12205850886387073, 0.12193575394976282, 0.1163954746492803, 0.11248232156694252, 0.11499170733515275, 0.11868655049562812, 0.11840726455917003, 0.11888081690033318, 0.11007660224553775, 0.1179717537423226, 0.11823904724843974, 0.12009959288568677, 0.11750788734552133, 0.1149490137463637, 0.1167724138875715, 0.12388400664609822, 0.12355581209504593, 0.1104917106469866, 0.13700832499948315, 0.11279936880700096, 0.1333612264328724, 0.1248454770875073, 0.11530842675232574, 0.12657506612931946, 0.1269426672941106, 0.12080152556436724, 0.12830066225441145, 0.12375200941230892, 0.11751732625792902, 0.12474363365860143, 0.11959068012578036, 0.12979939835421248, 0.1287956087263961, 0.11890609615951671, 0.1186636525500687, 0.11517813169258793, 0.12655331244961118, 0.12411886950416533, 0.11317469647513495, 0.11521855082765829, 0.12701950151063277, 0.11684668061580393, 0.12155832066679582, 0.12397605887896575, 0.10835826512246013, 0.11331320715848275, 0.11267642226893938, 0.12415757857042006, 0.11842653010813056, 0.12181003655633735, 0.1197444333332007, 0.11377655867983004, 0.11867820520641979, 0.11226883697308931, 0.13881618110365704, 0.12919993186693737, 0.11560275113546314, 0.11541148751964884, 0.11880426013668298, 0.12286651604402972, 0.12818640388524186, 0.12748833428478706, 0.11731495994399169, 0.12610797446957323, 0.12492704277187196, 0.1233829313272706, 0.11632632379037026]",0.1209050674814474,0.006961600622490908,269
6,MOp,-1.9221822681791485,0.0953947622506244,3,"[0.09467640487257425, 0.09908109880450573, 0.10487309794009482, 0.10235326297470554, 0.1009627850759764, 0.09989682020519249, 0.09581065180305152, 0.10430666774966292, 0.10130759458613979, 0.10133981837146368, 0.10077133447404377, 0.1024631269785232, 0.09682485385618018, 0.1000330225165649, 0.09796477874631795, 0.09886766361102266, 0.09663600789762719, 0.101560976946864, 0.09971083922193417, 0.10591410433383941, 0.10125185440576254, 0.10518039838689647, 0.09888613780450133, 0.10469129499964315, 0.10052737211332848, 0.10612201040718268, 0.10252851107567136, 0.09821423660358149, 0.10168233099700831, 0.10130882365912026, 0.09829182560540592, 0.10091338852690608, 0.10000174515710868, 0.10274470953658921, 0.10193564054339364, 0.09837897605886191, 0.10298775256658868, 0.10955569170804096, 0.10005716401342228, 0.0995308901272116, 0.09726736887352536, 0.10366568158779262, 0.10497950235200462, 0.10057351643943893, 0.0991981688306916, 0.10050710692952426, 0.1072866732641659, 0.09950051052858423, 0.09972496395611698, 0.09969305867762122, 0.09907040192232987, 0.1004025175535796, 0.10007364686673656, 0.10706676777071379, 0.10121903575284041, 0.10805623042391369, 0.09836183405847572, 0.10048024087092733, 0.10262871102414761, 0.10538383357524851, 0.10538437198876932, 0.10334651751950791, 0.09393662731321209, 0.10206668054131153, 0.09520806891711177, 0.10654509668582726, 0.10013460806544215, 0.100278093885302, 0.10223063394966886, 0.10248250968306705, 0.09856723672056397, 0.09927555220699308, 0.10098078798761019, 0.10252731821631804, 0.09678634440544406, 0.10115503591645422, 0.10206140950342062, 0.10038844500954539, 0.10267209559311635, 0.09813288407474288, 0.10125984717138847, 0.10416630510454161, 0.09739160427020215, 0.0959774162534414, 0.10148497916633833, 0.1029874308620429, 0.10019997469014243, 0.09948539306262133, 0.09780081611162154, 0.10113572732438492, 0.10387272355676157, 0.09909905300921529, 0.10049381779463247, 0.10621377729117074, 0.09910931692341053, 0.0979606717932801, 0.10286914847054658, 0.10399353047992076, 0.10319847025725801, 0.10106289379534553]",0.10109208652092583,0.0029639875284555636,754
7,RSPv,-0.20226329284289274,0.15884361014637277,3,"[0.1451411574225023, 0.1449921516722394, 0.1575187204941043, 0.1562021412260497, 0.2053474481450506, 0.19330726205663493, 0.19420776016350938, 0.14742091545756927, 0.19830108101456326, 0.18062694037421476, 0.17003744463900225, 0.14270977554178335, 0.13884195748148553, 0.1411589169655896, 0.15650422647260614, 0.1645704167029407, 0.15668143624211048, 0.14373576820444253, 0.13442806154852874, 0.18533898640093802, 0.15415368283641717, 0.1612316205734411, 0.14830668758657214, 0.137337615981461, 0.15899797185857545, 0.16544646715309516, 0.1844500861883445, 0.15383993507606156, 0.11443722592104276, 0.19638526654527566, 0.1336784171767967, 0.14736540669660642, 0.1799220416739415, 0.17154475304980835, 0.15714584090990252, 0.1333287645960204, 0.13877770921699634, 0.15967149447335746, 0.1575296754465591, 0.15550970697297004, 0.17003473549686549, 0.15238012833216, 0.16372611116717498, 0.16076154225948486, 0.1869440570742947, 0.1612816335694089, 0.15983997573197067, 0.1990629341542643, 0.15515992925223737, 0.201589128798652, 0.13497639093066702, 0.1767278762098031, 0.17836740621765926, 0.14254791767038671, 0.15635110320466472, 0.1615678134028807, 0.2027576068208485, 0.1412794835333326, 0.13984166299009604, 0.17245267627312388, 0.19075351493035822, 0.18078449267285998, 0.15381718474534087, 0.12551797020469743, 0.1907968548279145, 0.1662703291028492, 0.14752592967484396, 0.18784708490630067, 0.16842059696008713, 0.15658174899697408, 0.2221256145625737, 0.16203822928444062, 0.1628488069501752, 0.1505422314331041, 0.14986293451599075, 0.16951544372069616, 0.15132202197913278, 0.1350668641505728, 0.17126794599835493, 0.1596529104929728, 0.13398791906953272, 0.17383454282024516, 0.16291535815709957, 0.18587831059926865, 0.1506402982931533, 0.15667764020363653, 0.23533321957084707, 0.1710755110894884, 0.13649599871108667, 0.15096063889291642, 0.13800788147069123, 0.14866535256477095, 0.1742831523394376, 0.14993050913485162, 0.15805208395668358, 0.16853334957127286, 0.17230686292545927, 0.16211489956529293, 0.19864570122238503, 0.20865234785128264]",0.16323333339368726,0.021703014845724813,51
8,GU,2.1978518185923774,0.1778149879868475,3,"[0.14208300447377084, 0.15686297580967423, 0.14612052660679703, 0.15314378309019333, 0.14746017439018333, 0.18549296023196246, 0.16656109294870763, 0.1310434996610749, 0.1293186060279988, 0.16498543420563647, 0.13388136697490083, 0.13097545940217578, 0.12617604822714315, 0.15680630004058407, 0.13567613688105307, 0.1317472850077409, 0.13505539988492765, 0.14607408924743498, 0.14442657234713363, 0.16009833851141644, 0.12292172557645134, 0.16273245303886943, 0.13266700258421216, 0.16026802524581632, 0.1805679479607298, 0.13765372779475363, 0.14039489612196615, 0.16130832819808524, 0.12953696213112767, 0.15518460096348843, 0.1357926721096255, 0.1493079019176345, 0.15947202086614418, 0.1284827989027354, 0.16162788741557735, 0.13468789856225186, 0.14924520959139606, 0.13914504248657236, 0.14810868258728382, 0.15280584530557012, 0.16451893280801747, 0.14595150007134475, 0.13159432058920428, 0.1354074869527937, 0.15779490476799155, 0.1383763271870394, 0.1374486157285177, 0.12798506570992768, 0.1661070569171859, 0.14410024185867207, 0.1604577225351796, 0.11731544459628597, 0.14968939266778372, 0.14054842700473172, 0.15192765648514028, 0.15271808425637096, 0.14469758113807454, 0.13106427627893733, 0.15000895019241314, 0.13653522418337372, 0.12329814585826578, 0.1185882578663761, 0.15403584133121262, 0.14113020475736593, 0.13547905787959688, 0.14660255379622006, 0.15394287185730268, 0.12911825590458598, 0.15053951855991834, 0.13333672814525438, 0.1484434867037426, 0.15194010015253884, 0.15135783467265124, 0.1330396673710203, 0.18367671977462519, 0.13676586149010006, 0.12080738103849943, 0.15624439134638102, 0.1626072297533113, 0.11758533452281152, 0.15925775873406203, 0.1706573598118114, 0.1196992221030352, 0.1726598896309667, 0.11389125993804744, 0.1367237484573879, 0.16528868929883309, 0.1293315296556841, 0.14143990624784025, 0.14060539149972018, 0.14027454109941848, 0.13553517753041366, 0.1524358336486851, 0.1351743901656442, 0.12569247930479036, 0.14458359765213621, 0.14826374596698366, 0.13550883119827034, 0.1660715146838375, 0.15029917661090164]",0.14482081381280035,0.01501201031613605,76
9,AId,-0.01148937994073299,0.13129856214792054,4,"[0.13413472323878498, 0.1743608234942705, 0.13435786389654092, 0.12377345019487909, 0.13758685328757447, 0.14301814187580428, 0.13461285635521048, 0.13717310298163607, 0.12279852320568013, 0.13117720593532592, 0.13490801705007915, 0.10942323471143034, 0.14921460431975203, 0.12921356474720266, 0.1387305161150269, 0.11641417664586906, 0.1372580053026845, 0.13987273718174187, 0.11891278739555251, 0.15994208471726937, 0.13168552374508227, 0.1429539458695824, 0.12628519483552228, 0.14907484741593527, 0.13090530727024813, 0.1315997556620111, 0.14797968749118806, 0.12771770943593935, 0.13072430677617167, 0.1271853840421057, 0.14290023937504343, 0.12660925916906762, 0.12206712483798686, 0.12486032830091896, 0.13705374645974938, 0.12700334038751937, 0.13554684679753756, 0.14734562691882017, 0.1264220171868916, 0.1188645830134339, 0.12953196029300398, 0.13480512315683615, 0.11170244889388857, 0.12042987214678479, 0.1244746185490165, 0.14807549126364827, 0.13606586123941966, 0.13847970929963263, 0.13497377541793326, 0.12994073484382224, 0.11692585908260472, 0.1305352536782426, 0.13145741811895556, 0.13440431138094325, 0.14994017636594448, 0.12811366618771855, 0.1348855317460581, 0.1319644811072808, 0.11556341404618083, 0.12484943992063943, 0.13792981862043308, 0.118131459150345, 0.1297613384601536, 0.12882907751824246, 0.13091509092338802, 0.12793616106858538, 0.12498968165637166, 0.1320639894297661, 0.1263684937847598, 0.11709950605788216, 0.13617941827667365, 0.11180700746674169, 0.13971959869699085, 0.13079242993860463, 0.12229978183358403, 0.10921127618103951, 0.12021095199489983, 0.14062116074527947, 0.15286481053815912, 0.131742347075885, 0.12461845018594546, 0.13374093250134977, 0.13385590560589872, 0.11445273707655364, 0.13589850286512395, 0.12466288470832192, 0.12220622473920978, 0.1387874290847645, 0.13452061025563536, 0.12751237789026676, 0.14254465058741425, 0.13312872211706145, 0.12928406970252396, 0.13257318835256265, 0.12223068415207138, 0.11159562997100878, 0.13965237631725744, 0.13039238520175256, 0.14554821358857725, 0.12669860182652445]",0.13142165170529232,0.010713333357128735,144
