,region,ss_z,ss,ss_k,ss_null,ss_null_mean,ss_null_std,N
0,VISp,10.375458187867018,0.23719988524111615,5,"[0.14115393997371667, 0.1539151346788076, 0.14974029175891784, 0.1570651360715328, 0.13735678720749836, 0.14318283308614607, 0.13550656632206218, 0.1530545640349058, 0.15683524264652116, 0.17303847976294692, 0.14258221412550548, 0.16160350964581333, 0.14746028876303957, 0.14900664457317755, 0.15857758823381116, 0.14600954260444715, 0.14992815167033907, 0.15369493447211505, 0.14353979404036427, 0.1461403404942543, 0.156253487213772, 0.14736690271863964, 0.15688645423182015, 0.15314396824152027, 0.1556738220538717, 0.16180873731852097, 0.1627421708540039, 0.16074501923645687, 0.16414609343431985, 0.1515751368167608, 0.14406728203084124, 0.1585976238842911, 0.1516268298891789, 0.15644782089679962, 0.15772443968859615, 0.14800068246562492, 0.1493879146739766, 0.13039640277937228, 0.1483960483995051, 0.1467092778170772, 0.16232469405737188, 0.14978608638090596, 0.15284853232417275, 0.13312911816375353, 0.15477530480122315, 0.1508972783861514, 0.1543248436999765, 0.13742316193286996, 0.15792105218697383, 0.15630594885873692, 0.14583479712265765, 0.14287102259125448, 0.1614665321659242, 0.14849938999173345, 0.15745981197902303, 0.14335958792172826, 0.1527633372633057, 0.14632069438630033, 0.15454224839208963, 0.15320502440346126, 0.15853440791505563, 0.13670979095698602, 0.15770303882441417, 0.1531560702814067, 0.15479474380481573, 0.15160156392913451, 0.15544824202562282, 0.15329522941841303, 0.16342988272823256, 0.1586853619412173, 0.1418351980727998, 0.1436144745205321, 0.15065472070437255, 0.14914582788647632, 0.15636737790457308, 0.15883976806948474, 0.15502063681444161, 0.14832844490625696, 0.15795852353177742, 0.1338460448234491, 0.16825739761384836, 0.14288570200162046, 0.13828058568601248, 0.15179052603252452, 0.14555539171162804, 0.1412379188387996, 0.15172032392124607, 0.13916786879206064, 0.1618459028547568, 0.14483962374967244, 0.1406801807028827, 0.16275656464571112, 0.14042755284547492, 0.1399742202090428, 0.15582229661920424, 0.14139921556378168, 0.15997199557283429, 0.13880005735514142, 0.13966699696640963, 0.1461503638857725]",0.15067346600448372,0.00833952753410117,147
1,AUDp,6.900323399423149,0.24964116870283226,3,"[0.15698439756056137, 0.15664490509921597, 0.19055706849174012, 0.18626119215625925, 0.1623060541724308, 0.16695221048134756, 0.1647249452129207, 0.17004114186618538, 0.16617004926234324, 0.1952931916664687, 0.1742008786752277, 0.16754205236900915, 0.18752525750026372, 0.16131735962941424, 0.19297873776855598, 0.1852315239341631, 0.17003389624245344, 0.1795341309060114, 0.17807425618923303, 0.16962055623392167, 0.1675613033955665, 0.16323778154838606, 0.16202694813274046, 0.1734403009899428, 0.16508112756123336, 0.15620688509940117, 0.16593593819676414, 0.1841801129638355, 0.18473750903308736, 0.19071356321239905, 0.15352143847541067, 0.15167434517002018, 0.18260871641148718, 0.1570316589389684, 0.16727424223083862, 0.17076176819840597, 0.18540273528686016, 0.15414748694068237, 0.15333561979994925, 0.16513029583783545, 0.16809112600069118, 0.15989371716158124, 0.15821967486787544, 0.1684696853916097, 0.16018450057186337, 0.14232841167737, 0.17812392599396687, 0.1756872235794676, 0.18206294270367498, 0.15626874321495315, 0.168119904282995, 0.17955695791580473, 0.16339021496971734, 0.16185483487800584, 0.17726691468956732, 0.16375949172611054, 0.18598073831010573, 0.16009377422906915, 0.16857950387611528, 0.16192186017748425, 0.17960250743868325, 0.16682872005024565, 0.155317265781044, 0.17716859208606153, 0.14836121742780264, 0.18502106695014567, 0.16254097769953152, 0.18740432818846534, 0.17961116305120658, 0.17852626260750287, 0.16839665258188521, 0.16773900019779708, 0.1861852537962482, 0.15156918421708573, 0.1505640949762243, 0.17500162175505007, 0.17764289509129788, 0.17157762776135935, 0.18219215427669325, 0.16510370321488962, 0.1635050766780339, 0.1686930732080939, 0.15170058375982057, 0.1593375938664487, 0.16647352826956152, 0.16058762517068909, 0.14920194079722116, 0.15861772612323594, 0.15881378253197723, 0.16220439937702358, 0.17600280195887485, 0.1691210246645921, 0.18177009290307466, 0.1515157772965142, 0.16954026590173527, 0.19522196833953423, 0.16265347563757288, 0.16344863038654736, 0.17158623347726956, 0.16262067564775848]",0.1689482829420437,0.01169407302961109,141
2,SSp-ll,3.111425120185464,0.24051060032272398,3,"[0.1719653525255644, 0.1926027199907847, 0.18451437833920242, 0.2071131170083665, 0.20640415839566525, 0.21945069440940293, 0.19822176673310313, 0.18790865652780261, 0.1863115746762257, 0.1710815988585492, 0.19727065990087544, 0.17892702143809222, 0.18021751931450591, 0.17999155924069637, 0.1972256260234606, 0.1913928686486595, 0.20164199957457526, 0.2159008003345737, 0.22515459858996395, 0.20585834797349895, 0.1618262172742267, 0.18033510817604592, 0.19856470089901193, 0.20468650794555132, 0.20519510827108906, 0.1906010040155617, 0.19183435072145158, 0.22321016952741307, 0.19042474076589783, 0.19893564799233207, 0.18038020331058754, 0.18862658651422662, 0.2029526469273771, 0.21337290196397296, 0.18447046276504542, 0.2064005472900159, 0.19091537173607873, 0.17218173916033175, 0.18597718119057677, 0.1803841402011057, 0.18257521672561286, 0.1735545976060964, 0.19044474597835084, 0.22050188226303089, 0.20883740687878974, 0.19252349076866976, 0.2027681473966149, 0.16884156274605971, 0.1777481159514117, 0.20477902055306707, 0.1855523488426784, 0.2267854705270423, 0.18991071094733772, 0.19530375904188366, 0.23020662333341504, 0.17322678488003912, 0.24107368341664445, 0.20360757406366484, 0.18287848720976718, 0.1863933610976799, 0.1738507849215162, 0.20038897980670314, 0.18011543683540934, 0.19225004071542792, 0.18444258675154077, 0.17920605952876423, 0.19789286124522654, 0.20151330813108226, 0.18392530567141585, 0.19277813376660694, 0.19267007196789512, 0.18152942600063268, 0.23670281412303468, 0.18381532902490494, 0.18193989403082997, 0.17394452866387167, 0.18890982892316555, 0.1917603664186123, 0.17072157944361963, 0.2010909106464805, 0.19332322530154442, 0.1785916535076955, 0.20300004644464217, 0.18934779788793707, 0.17641699971647215, 0.17589999827303587, 0.1814098020085023, 0.18689710240618634, 0.1828745922401251, 0.2017476879207895, 0.19502552727822312, 0.18148439756249382, 0.2248339457847275, 0.19214773528447696, 0.1870980887669503, 0.18845700808499083, 0.17853921545020443, 0.18308650395852988, 0.19874653578701057, 0.1880083515705068]",0.19264327807231107,0.015384372241476168,74
3,SSp-n,2.2487442152044714,0.2774421456299427,3,"[0.21546173791021578, 0.21250342857036544, 0.2620649342317539, 0.20272556820440787, 0.24974982713930965, 0.20765985411763885, 0.2535547158956367, 0.22872522172445905, 0.2232692486152078, 0.20554687364626323, 0.21321824701288233, 0.22976392802646584, 0.21511480291578478, 0.21238113189429603, 0.23447088694807933, 0.22590433053796252, 0.2005021479198592, 0.23256505910078723, 0.27622625159031444, 0.22773826908568295, 0.20402512358300892, 0.260252803556066, 0.2557758458968435, 0.2515866463386096, 0.23611464986298256, 0.26075120215590963, 0.2523029608056426, 0.21298108742110286, 0.26287636246872587, 0.2238857379545587, 0.22515165490327382, 0.22968378229202524, 0.2606351138865274, 0.2284969793091193, 0.21799856610192525, 0.2333677491311081, 0.2337199447511534, 0.2345455891223053, 0.23929561274518762, 0.2484237833986388, 0.21980998758364842, 0.2575099290508933, 0.20383679468776958, 0.24848737705981114, 0.23277996476547333, 0.24049953249815828, 0.2233370946083396, 0.23272820681155498, 0.25072493240335697, 0.2579092769464152, 0.21214095309108338, 0.19460607156809412, 0.2246477068575524, 0.21635513677048532, 0.22355376681626246, 0.19960223413974731, 0.20451037372695452, 0.21096316868269074, 0.23050651159864943, 0.24121060415499784, 0.20519007238199755, 0.2227233343647552, 0.23844202166861336, 0.24915544555862512, 0.24408692179981098, 0.21893678091678534, 0.2147999825311797, 0.2679564192221246, 0.250065870841707, 0.25034224872820954, 0.21520437262457032, 0.23613152037241794, 0.26795352077388607, 0.23787528528570479, 0.2178043726533266, 0.26201185928319776, 0.23757364171998188, 0.2424372444275073, 0.21091751553941895, 0.2382170241010186, 0.21329279714921437, 0.18899000017481093, 0.22423766389100963, 0.22993958132544015, 0.21215505370216295, 0.18761308368345656, 0.21074673558424778, 0.23371141410393653, 0.21384100822011007, 0.22210516338267638, 0.23330997719340663, 0.2039028384215987, 0.23902528372404627, 0.2285480452391887, 0.2710812864367518, 0.20755283349073783, 0.21566648777758077, 0.30331126000825875, 0.2153115717505144, 0.20625287290501076]",0.23015157697553026,0.021029767785355896,55
4,SSp-ul,5.779520340451404,0.26571315375007987,4,"[0.1567704908462906, 0.16587496186518397, 0.16956377156352312, 0.18885655161029657, 0.20040466771013177, 0.17812509853777922, 0.1980583516042792, 0.18918556516495316, 0.17562082248255464, 0.1727017351666485, 0.1620019514835923, 0.1582345476567422, 0.16617199637005, 0.1800100076235472, 0.14982899077052408, 0.1874991838980072, 0.1899789083314641, 0.16841446844312713, 0.18393412447327007, 0.21055103255165164, 0.18125220631680808, 0.1834960444495684, 0.17398891422722793, 0.18321671776599568, 0.19998402609078564, 0.18326446751864447, 0.15751727037977398, 0.17503162400348282, 0.19297329192306187, 0.1995972349790873, 0.1821790643239403, 0.17785875344702573, 0.17417194217083798, 0.20584658722682564, 0.20325501091147163, 0.17095768552687718, 0.1864180227024259, 0.1740382182669782, 0.15644678001485568, 0.16701665908364566, 0.16677641917064265, 0.18162262535578172, 0.16574431897029523, 0.18262701512045643, 0.18001151396327975, 0.1985562589448739, 0.18063094263618146, 0.18854884028979566, 0.18980592079115285, 0.16513271875908414, 0.1735131677209112, 0.19168785974066305, 0.18878617134467823, 0.2070123878953658, 0.17896422340572024, 0.21515817801933046, 0.19669308176762978, 0.1967703052526069, 0.1875292602641176, 0.18674785183391848, 0.17183676578780127, 0.16575763438417576, 0.15601191796072877, 0.18221537612334804, 0.1727769564418683, 0.18348046188043127, 0.16685315166244957, 0.17966859497574258, 0.1751904561680048, 0.18486126486984952, 0.18422151069792936, 0.185027143607335, 0.1739529372322512, 0.17901668026104392, 0.22262757395344634, 0.1694124456482587, 0.18024354005882853, 0.16902600590903274, 0.18323020912495414, 0.17393764812108042, 0.17146631407419294, 0.17655029516994533, 0.21679611945260896, 0.16639354247952387, 0.18816883300320167, 0.17016004321279882, 0.18231230019480144, 0.1636474667153633, 0.17148677273716117, 0.14493159469454314, 0.18633603183339884, 0.20364654762312567, 0.20012873466160178, 0.19182366755920618, 0.20074820775698962, 0.18101452033518958, 0.15749944426218923, 0.1755990616368554, 0.17582464470882375, 0.19393108462184555]",0.18080430312331353,0.014691331741231422,72
5,SSp-m,2.3125638228108625,0.1848242442739558,3,"[0.17208376648934548, 0.16865922222056498, 0.162714871544646, 0.1738072306809748, 0.1682424451576554, 0.16425568089659479, 0.16585862418148115, 0.1534179415532459, 0.17063288706484953, 0.16931526637666017, 0.15959012641051232, 0.16335425927807393, 0.1670948907169561, 0.1598342399283856, 0.16377766404156432, 0.16548978035927292, 0.1664265351414285, 0.1809652364403531, 0.16282408337733842, 0.1653035805267816, 0.16553144516278992, 0.1609819185898624, 0.17126651042803334, 0.17303093751904017, 0.16982740958705825, 0.15860930439296012, 0.15912270823088456, 0.15446975584841657, 0.15808447418741164, 0.16445296543602594, 0.1733274351502428, 0.16563543193750402, 0.16352245649515115, 0.1710197293802345, 0.158999431884629, 0.1658659924411195, 0.15550790708015483, 0.17437064472890357, 0.16259322894793168, 0.16726855002653163, 0.1642272502522723, 0.18057353956692723, 0.15530470019389114, 0.16166329424816606, 0.16244730458882986, 0.16056309752866788, 0.16340105362255414, 0.16499222492267976, 0.16502394360326494, 0.1746494194806183, 0.16660956156631038, 0.17864795456574387, 0.15793457896572421, 0.1757635842056957, 0.16515102348759286, 0.1580092461316938, 0.17642201294696738, 0.18284577917195527, 0.16676360047064612, 0.1525781103822334, 0.1603086058387966, 0.17884970595100447, 0.17111685986426933, 0.17360797396394276, 0.15642974626926484, 0.17123407896190468, 0.16600142152266883, 0.16831071534279493, 0.178075063090053, 0.14919815644042778, 0.17505963007740535, 0.16392994705842612, 0.1629047457609599, 0.1449964854731373, 0.15830954909285289, 0.1712269344044257, 0.1671389112455779, 0.15969372268487042, 0.17554634974542357, 0.17974402187895933, 0.1680061242892899, 0.1761540572349751, 0.17671975012365757, 0.1552163537440766, 0.17036787853109142, 0.17393107671864025, 0.16872636776901018, 0.16422637396519962, 0.1864338609182851, 0.16865818188445533, 0.15541271341006763, 0.16482471115052114, 0.1589583087415045, 0.15671418067586543, 0.16599002919002287, 0.15628712141784645, 0.17724903829326535, 0.16936993123564062, 0.16972026422750808, 0.18480703017354586]",0.16650163828105635,0.007923070408767698,465
6,SSp-bfd,0.7907852840015015,0.1760621032138169,3,"[0.15039971373298971, 0.16177379089889343, 0.1656064304300683, 0.16462930244238638, 0.15165632786308075, 0.1667724877322953, 0.1609449550843523, 0.17200976538303314, 0.16726132662140109, 0.18461905397383663, 0.16552359944956455, 0.1655161518854171, 0.16783429268445188, 0.1815307413457716, 0.17508553761606963, 0.17601658440856463, 0.15768158074460797, 0.1636646627657321, 0.18220551313787248, 0.16031946352079332, 0.1797893228725306, 0.18374859751372205, 0.18489610898588665, 0.15968943605265606, 0.15437610256520942, 0.1667276138600404, 0.16405869435829146, 0.1822113929766124, 0.1601604989201731, 0.14962951909444702, 0.169080636356406, 0.15960278387752713, 0.17309885978270434, 0.15745313080961545, 0.1640528405843779, 0.17836014509197887, 0.17086432694087347, 0.16640646171071063, 0.15913846420374292, 0.18198277144223257, 0.17425585572667315, 0.17016525883490952, 0.17884881447131953, 0.17059462524240301, 0.17745090023979176, 0.16677474028729167, 0.179407906799243, 0.161472107132478, 0.16538747187819833, 0.16843093383024274, 0.17319320558238177, 0.17143990716354063, 0.1801933757557649, 0.1700441624100355, 0.16686070919145177, 0.17460046401531845, 0.1536471913372693, 0.18374091983723578, 0.1607348058386317, 0.17164350965274608, 0.1869249022359913, 0.17577624345914122, 0.15822066392642425, 0.15571860726324285, 0.1871204806525636, 0.16625134088418458, 0.16959508425943634, 0.1576631262914518, 0.17316699248143258, 0.15192887401990604, 0.1749143260966914, 0.14418109828308373, 0.17868814855696172, 0.15199851678159793, 0.1597023270249194, 0.17573485433488528, 0.1852775786400592, 0.156220666187449, 0.1592492163512251, 0.16967790632892385, 0.1744001530822422, 0.15685676697195183, 0.1689069627588799, 0.19012032152561628, 0.17149868485638192, 0.15862251192220142, 0.16033737448625857, 0.16805808913138756, 0.1685583812295249, 0.16284414678201875, 0.1565118180440213, 0.14417585921772427, 0.15898583918944112, 0.16789175881933688, 0.1569101685571379, 0.1803615756547524, 0.16109212666745412, 0.18534858987981087, 0.17895896512175657, 0.1629179974323674]",0.1679663490033769,0.010237613640802954,185
7,SSs,1.376294015548047,0.18660833656889822,3,"[0.1588787272238236, 0.1784864706571307, 0.16807470013414086, 0.15584341137236662, 0.17393814664784932, 0.17850666235858942, 0.17845806497020628, 0.1693207376316889, 0.2021323325777309, 0.167498553647169, 0.1822904160078268, 0.17636958647247225, 0.15841045663204012, 0.17961502860183595, 0.18270954289915642, 0.19036528421223262, 0.15457976786063024, 0.16262807917632816, 0.17335097491175394, 0.1826515406302004, 0.14921960680596186, 0.16821069661348811, 0.17350545199242356, 0.16375416308395857, 0.1562462108571407, 0.17249863389278308, 0.18294878140768078, 0.1845987386171335, 0.16766103608281036, 0.19182653551667753, 0.1748485059141587, 0.1751170504676551, 0.16925074143119218, 0.15896936875297585, 0.18503542581643365, 0.17860500939976218, 0.17205760800989822, 0.16577604329863324, 0.1732216633614013, 0.1582214501153917, 0.16750463173133318, 0.16463519211698066, 0.1731929117541965, 0.16719066431319057, 0.16725254477743512, 0.16500946713014994, 0.17691621257761717, 0.15768490166004095, 0.1741090268317462, 0.16112857240500084, 0.16814405131649104, 0.16988097825095733, 0.17661044956458125, 0.1589691843414498, 0.1634687411785364, 0.15450509185394037, 0.1529627604102958, 0.18138171453278112, 0.17128981631676596, 0.17046826636913645, 0.16095607962260566, 0.16784716660242707, 0.16029765446670718, 0.1576770328555607, 0.17501151016028513, 0.16508410860379766, 0.16813568446389385, 0.20382688352831893, 0.15376690586720262, 0.17028908153292288, 0.14739262560861657, 0.19725195543204788, 0.17010094772966627, 0.16315880590259518, 0.1808254886034871, 0.16002223839178065, 0.1693363369449642, 0.16147086194734464, 0.1767911406499174, 0.17541431488191989, 0.1800593258767423, 0.17546354799640695, 0.17782663376473717, 0.184674849448119, 0.1672776440243795, 0.17088957845786926, 0.1731675464124632, 0.18554455785197388, 0.19165907378698183, 0.16709313634331588, 0.17921818915146676, 0.1611012185675484, 0.15542347066292161, 0.1929584132755477, 0.1762876132160437, 0.1753149997647798, 0.17384242654516496, 0.1816888714564522, 0.17878745935193274, 0.1750647988882349]",0.17145986564134502,0.011006711325065963,269
8,SSp-tr,1.219795516074831,0.20825387605506232,6,"[0.17255757141202505, 0.18517920574281294, 0.18004492273542738, 0.17301228271166252, 0.2155172513446408, 0.18725259382964568, 0.18283445054295025, 0.19435111618524784, 0.18157837169290875, 0.1867628673294309, 0.180981547656215, 0.17541711035116794, 0.17079345024552864, 0.19298581970028109, 0.1584052443949736, 0.1822489874787695, 0.18952258455664792, 0.18557110112668684, 0.18677326593782492, 0.19613209645258617, 0.20381542683689943, 0.18371980621657968, 0.17800891201514474, 0.21150024135314602, 0.2169316888245294, 0.18895201200130088, 0.17954767373847222, 0.19067239117408713, 0.18075623252100168, 0.2035983922500011, 0.18297663024532318, 0.22587348567830134, 0.19160479871449917, 0.18828917903312628, 0.2118808463522234, 0.20279362984180288, 0.1691856355602434, 0.17781907318145238, 0.1846518134138289, 0.20522371865634267, 0.17832530713172237, 0.22040028617186994, 0.18108927801445057, 0.18938895420637009, 0.1963343515448456, 0.22921940642371913, 0.18116608564795314, 0.18487136311038418, 0.18684845356463445, 0.1821434135629623, 0.17616504246309891, 0.18804093561349544, 0.18688279116430914, 0.17335097172078776, 0.18000607000191918, 0.21533864038837056, 0.20849966476460063, 0.1761274177244375, 0.20825576916700939, 0.1703896394633384, 0.18227343430911472, 0.19498807841999996, 0.19676352125664676, 0.19292723345451213, 0.1812001825873057, 0.21763326224854687, 0.19265513992136832, 0.19770690231132876, 0.21179492394832813, 0.20814061467747058, 0.18692351649662778, 0.1910897547657451, 0.2180324665921962, 0.20172886904266069, 0.1912388852285829, 0.18201869772148607, 0.17171177878221347, 0.1645207847566387, 0.20753084885143355, 0.1923314158665429, 0.17119499533547256, 0.1985295250349018, 0.18079105719102107, 0.18197536583801213, 0.19518879672725287, 0.19933085090210986, 0.17545365199824442, 0.19004322893720504, 0.19177964997447497, 0.21411042927001778, 0.16177509994086495, 0.19746643388986285, 0.2245200675062623, 0.19380962575170954, 0.19309213271228315, 0.1708544842647466, 0.16824267266825463, 0.18148407414870038, 0.18398916435468946, 0.18524438569219442]",0.19010653274263042,0.014877365159390048,58
9,MOp,-0.1703264088247779,0.13003000360302489,5,"[0.12551738138798804, 0.1328867719937014, 0.1312419331282654, 0.12949605526385766, 0.13280143088811425, 0.1317859306409923, 0.13277672134946877, 0.12661274461642283, 0.12505345004341437, 0.12787579322783446, 0.13176760345971245, 0.12929058282119263, 0.13867891504837235, 0.12744079668641237, 0.12962514508799225, 0.12696405852406864, 0.12784571316587098, 0.1288380141975258, 0.13026490266824503, 0.12233749849033872, 0.12973626631223503, 0.12900477029761295, 0.12862964794594406, 0.12724435269001025, 0.1307136704697141, 0.1320774084335193, 0.1282702056765177, 0.1285109224688551, 0.13122709004722563, 0.13566171195474733, 0.12914835850712314, 0.139199303550964, 0.12947645040106054, 0.1330557102188514, 0.13546857217090238, 0.13627055561033186, 0.12481378629128263, 0.13001267990828383, 0.12894767025911952, 0.135327351151256, 0.1325150069274558, 0.1314794470779789, 0.13305708767745125, 0.12438738029231794, 0.11930358663493924, 0.12457725726707883, 0.13212392529504055, 0.1298694898815506, 0.13866927786808134, 0.13365730671150894, 0.12917164738494263, 0.12666574548489362, 0.13160815083486363, 0.13410805486667976, 0.13948128382412814, 0.13141663034969492, 0.12509132575250786, 0.12920163229506598, 0.12780717279339826, 0.13030162664833514, 0.12831639042919812, 0.13556056234637817, 0.13011571950274534, 0.13065736989315493, 0.13241409244065716, 0.13110166030854575, 0.13498971892382705, 0.12865252869088525, 0.1307178847411326, 0.128016594490099, 0.13417380973290427, 0.13108664820782345, 0.12924295854382456, 0.1414307064129627, 0.13420226118016443, 0.13425461454077414, 0.12940152169885172, 0.1300234606629155, 0.131124985140745, 0.1298679936509062, 0.13276225504552258, 0.13121358813472414, 0.12858150661906004, 0.13382199595889427, 0.12967040977220426, 0.12740953195859034, 0.1326254466551475, 0.12820436543933408, 0.1346812248851338, 0.12620542491218537, 0.12820425832707785, 0.12974797420112152, 0.13387141476256503, 0.12815515065156033, 0.1377374355133596, 0.1323760353834759, 0.13044508898560878, 0.13029536839412686, 0.12916114753593527, 0.12863528513192146]",0.130655473527293,0.0036721840646072195,754
