,region,ss_z,ss,ss_k,ss_null,ss_null_mean,ss_null_std,N
0,VISp,2.287448440084256,0.19165076782570373,3,"[0.13821343363483043, 0.16705561307265931, 0.15845726740029056, 0.17666994729343208, 0.15044943831847205, 0.16244881674248318, 0.1806592802957121, 0.15004808728252242, 0.1895392231591983, 0.13854291241482813, 0.16252442860714644, 0.15011973222345737, 0.16139279100711929, 0.17434206235745284, 0.16563802665350918, 0.16010847452332766, 0.15751658375382202, 0.15982447439203878, 0.1632604075519976, 0.13924598780707917, 0.15332391012696572, 0.16412404911040973, 0.17265084912120582, 0.17055586097983072, 0.17732710666236023, 0.15176377821990125, 0.17075961475446988, 0.13318575529930513, 0.16830538428286257, 0.14544078564033774, 0.17707208916048187, 0.17348845906453003, 0.15101510020841946, 0.13980675037557214, 0.13079094209766864, 0.14420591667522048, 0.16331516876021795, 0.13747656188613333, 0.14846984500543103, 0.16646405677079829, 0.1410990057681686, 0.15768310683394962, 0.18296365051639407, 0.142623278990182, 0.17291046752734104, 0.15857406289842288, 0.16152422604287758, 0.15434867036234878, 0.1652857467931766, 0.15631560765590416, 0.14615645182124043, 0.15442836946382202, 0.14813047162912374, 0.16819034541598146, 0.15444115479140247, 0.14165174380576118, 0.15624073061085228, 0.17525344228982964, 0.17608642194121274, 0.15515836929786317, 0.17769087386549068, 0.1496140276654166, 0.14300417479805608, 0.16793593023065778, 0.16807490615454893, 0.14540083745957735, 0.14312017131664798, 0.15447181804729393, 0.16315643917094644, 0.16519738667751221, 0.17186011689589104, 0.15365750683385043, 0.18354700155844145, 0.16537411479565253, 0.17143458315787985, 0.14218574032702858, 0.14185871698973368, 0.1738746128093827, 0.16291223486138393, 0.15355660209345753, 0.14835465095662442, 0.19048184964922518, 0.15716765960768322, 0.17784942716160185, 0.1860525962726518, 0.13785738981700074, 0.14240941463573265, 0.1437294934174, 0.18086603671055082, 0.1327323410942563, 0.13520919760125566, 0.15770165735085365, 0.15376651891679602, 0.18608671511686864, 0.13553250500157796, 0.1594058252258927, 0.17576810239182794, 0.1451106835901655, 0.14568252524629746, 0.16009423221712285]",0.1586445091483959,0.014429290776098138,160
1,AUDp,1.851430795415119,0.22004090402818605,2,"[0.15525802188668109, 0.17509183510405385, 0.22143612692398984, 0.19863398152845466, 0.1807800340405215, 0.20066739477754636, 0.1936392592837556, 0.1973319177283293, 0.20684543378394069, 0.20714237510459282, 0.1841917838285063, 0.1736169892732366, 0.2170607413939782, 0.1773373547070867, 0.19358665565709493, 0.22237226601154694, 0.1828327952146395, 0.20236793548910348, 0.1841071889805303, 0.19252359566114705, 0.2159836461242904, 0.1915874512830955, 0.18948342998201226, 0.18652067386396104, 0.18509664854797003, 0.21062512059098146, 0.19662043882879995, 0.20760492894012936, 0.19396973517142416, 0.18931306801239178, 0.15114804494768844, 0.1726651305217831, 0.19066044975953098, 0.16328160620270998, 0.2125720232939112, 0.18617918497242644, 0.18865076500838107, 0.15372744906972532, 0.1504886061832775, 0.17497675752443634, 0.16779536624019983, 0.19149415449631074, 0.17521739450213814, 0.1681268003456834, 0.1732639371424025, 0.1692607556414354, 0.17906996613599896, 0.17636665210351785, 0.20654971297444988, 0.17436982100783552, 0.20682132849007265, 0.17655788235454203, 0.19237342146211545, 0.18045923879494785, 0.21259547606453988, 0.17626577033084467, 0.19822169364614867, 0.15801285307198884, 0.1800220907781701, 0.19477959271752854, 0.1812632275031427, 0.1904230778247754, 0.17717190954319662, 0.17690331014718547, 0.17412749676394398, 0.22448882433221953, 0.19804172884942925, 0.18703916577114274, 0.19807584538304618, 0.18619781299540328, 0.18951016986093946, 0.20320918367611143, 0.19288941567398285, 0.17848515189728087, 0.15038817507641059, 0.1707994738705791, 0.2062899533544989, 0.17656087230851314, 0.1912915625979289, 0.1738641768770825, 0.18645543128312675, 0.2140972359630135, 0.20875922328952976, 0.18197481415007088, 0.19707746621403138, 0.1789525354256469, 0.1702619367922062, 0.19658410824160005, 0.19030055003836324, 0.19195828033744008, 0.1934060668942532, 0.1835235108275769, 0.23147360843363562, 0.1895812461449068, 0.19138888803198065, 0.23515964068854492, 0.17056197854756033, 0.19418687792577216, 0.1741542080411693, 0.17778688570997905]",0.18820267780795752,0.01719655214716784,141
2,SSp-ll,1.527790144923719,0.23185148517849732,2,"[0.1689374751349433, 0.19301991705639282, 0.18261470698994026, 0.19625646687289955, 0.21755164114345016, 0.22437753203297717, 0.19829561846352703, 0.17765076086510687, 0.21096193039048527, 0.16805516183897495, 0.21900438442586276, 0.1937710655966315, 0.19305138831101493, 0.22215649701438403, 0.21451773513066738, 0.20886639652020572, 0.2159329704698609, 0.21083616023212073, 0.26495407492176104, 0.2125476775911971, 0.1612630467488795, 0.2066157147004089, 0.2048672532961196, 0.22728124134212135, 0.2108465034444493, 0.20053261264513617, 0.19305287594289056, 0.22169725232839183, 0.21043668887161032, 0.20113750870049193, 0.21904101228423933, 0.1822908245747052, 0.23230567511000938, 0.2156444805642423, 0.19650375345240054, 0.20131012634962675, 0.21834641134695168, 0.20792396925640208, 0.2310417940104617, 0.22465662540769143, 0.18892330027070553, 0.19782403555044883, 0.2287643201751178, 0.21260214748124084, 0.18715129651488369, 0.19490584940132474, 0.19022304936675624, 0.2044308227889478, 0.2116495952068781, 0.20377595028393933, 0.18529585669936993, 0.2309517133078891, 0.2363098280645584, 0.1964690722330694, 0.2252778347790716, 0.1696085820320353, 0.2579622618792536, 0.2018577638642529, 0.1855412682629401, 0.17189435721409102, 0.18484052021836606, 0.2308427625262499, 0.17480912215331953, 0.1972901010552231, 0.18444258675154077, 0.21138827890898365, 0.17843080933624023, 0.19815248796855506, 0.17896574824683134, 0.18271372820041312, 0.1901305924043328, 0.16035746644924223, 0.23201098318350372, 0.1627912504505428, 0.199039427998784, 0.18346574359660484, 0.1869813812897851, 0.1765412573686719, 0.18514767853033387, 0.20242099420399862, 0.21182230322828582, 0.19908246954845463, 0.1996967257598281, 0.17718648218034294, 0.16603682408839893, 0.20418629634591068, 0.17689172502722167, 0.17440098253021727, 0.18301558109570357, 0.2036512085264438, 0.18662979217537154, 0.21555054167626927, 0.21213007050162114, 0.2105890901911994, 0.1764886222644684, 0.18903152203366683, 0.24172845545568122, 0.18028597648604744, 0.19594093992051245, 0.18935117138117083]",0.20036033538014744,0.02061222210588497,74
3,SSp-n,1.024230546406458,0.2258599355946903,2,"[0.15872159943862116, 0.19729374819241186, 0.2157669576889683, 0.22577463865665243, 0.22466563523378316, 0.21820657844581637, 0.19040129474445153, 0.2237486424351725, 0.19548364757661707, 0.23926640101538316, 0.20677008140902428, 0.23416789452829467, 0.21175223188744147, 0.2418619809656643, 0.1929604185761885, 0.2023244161731581, 0.2367029854285781, 0.23480023633883418, 0.19117701175862156, 0.23286010145279112, 0.2111762240920218, 0.222157090242946, 0.2106252467763341, 0.21801555017902766, 0.21574827396906543, 0.19326789612656442, 0.1917693412084648, 0.24118451835779342, 0.22787541735634018, 0.19352701781785778, 0.24126876649748552, 0.19198799861142035, 0.19668945112883884, 0.20281585126188292, 0.22475458733971104, 0.2115227653702777, 0.2090954085986222, 0.24093279894880945, 0.21390813441551476, 0.18981871423532004, 0.22647383282868072, 0.18232331003827454, 0.18649555131939707, 0.19236284127083136, 0.2115890439994649, 0.1891415414113568, 0.20160025016120112, 0.2235577958620934, 0.19210873203466078, 0.2151784813449619, 0.20438240742481956, 0.1491729284300531, 0.17795328247064499, 0.1988428233334297, 0.20484170920872843, 0.1868603547728128, 0.19036479883045976, 0.2251589517310976, 0.1699022925399022, 0.1703801619590672, 0.1965513287159276, 0.20597764773984722, 0.17827934721829647, 0.2003070043430169, 0.21647068966628583, 0.20236397939056885, 0.2168485191612926, 0.184698744739763, 0.18875172755673722, 0.21812100619589972, 0.19584209346563253, 0.21352795089864843, 0.21140235416340336, 0.1992464319760249, 0.24742941445811284, 0.20773344285747794, 0.2003904119885924, 0.2100736141333141, 0.18064558893606386, 0.19395892128760095, 0.2000881631456856, 0.23334752712935025, 0.19598950458422776, 0.19578609514495862, 0.20717438396705318, 0.1755672211461255, 0.18372537572027156, 0.175191896751771, 0.19849026444964676, 0.23611010546611794, 0.21618370571242976, 0.21823042790341718, 0.19967390716978742, 0.23679026387399857, 0.20053302495500705, 0.1763301162383606, 0.19585159443425387, 0.18302845340512447, 0.23100760245369287, 0.21354256918748926]",0.20562801067183983,0.01975329186757294,103
4,SSp-ul,2.473336271231979,0.21666773924940996,4,"[0.1473694099429096, 0.17702588445473466, 0.16227240314131336, 0.206279746550377, 0.16860110560860447, 0.18161102822473452, 0.15865949568396412, 0.17974024856032828, 0.1764880834611089, 0.18897145461861814, 0.1926131074208999, 0.19867637688694523, 0.16747572669375152, 0.21376058242739976, 0.17926340298301205, 0.18810185017842695, 0.16904790971676117, 0.19616786022410385, 0.161706343331603, 0.15793501037981966, 0.18224867274061118, 0.20752042987680183, 0.197926220936909, 0.1580591605412125, 0.19599009340371154, 0.16763117768552835, 0.17672393828724137, 0.17148408347706323, 0.1985509676650353, 0.20325567770676975, 0.16394507275419898, 0.20271125620215646, 0.1741418592809554, 0.15833540273838712, 0.161393613339908, 0.1909735744711237, 0.18236196569701435, 0.18274204956090206, 0.1859305712149705, 0.1814830442422456, 0.17940217856168947, 0.17568731398172133, 0.16856275504263485, 0.15443437482141065, 0.1515522732935177, 0.18374264015683522, 0.17626376389291565, 0.1733422555193805, 0.20513630662584265, 0.17085337591451658, 0.17951726586006708, 0.17782363055940556, 0.16292008982462877, 0.18142141972386405, 0.15781476086487178, 0.14203929693022255, 0.1650745787464733, 0.1587819343661001, 0.1541216056296922, 0.19220518044329918, 0.1600000290702979, 0.15550638932786442, 0.14434728394024035, 0.17810946803767835, 0.15228918701093627, 0.1710303734170678, 0.17498602068375924, 0.16267124722783, 0.187137456657995, 0.15822912468140934, 0.16622366388488716, 0.20297875917673655, 0.16588602324541435, 0.1677559905311831, 0.18776189367572912, 0.15823479804050333, 0.20540689635666506, 0.17743329949655876, 0.18494014855211002, 0.18134811235996065, 0.15038658978639272, 0.16635769115751223, 0.16775423653449567, 0.20793127910664364, 0.14278122485559444, 0.19051894651617748, 0.18100542879075474, 0.16458072579213887, 0.14332442474518597, 0.1755128135286561, 0.15761853076670806, 0.18515601600380363, 0.20527146904169766, 0.1636007464762609, 0.18497199940245362, 0.17326157187946845, 0.1956188911872951, 0.1701434292291986, 0.17106667106058318, 0.1662070904061335]",0.1753121880471323,0.016720553401207466,100
5,SSp-m,3.0068934342092097,0.19172648762953112,3,"[0.1598817285342409, 0.14773751025628476, 0.15227435112701268, 0.15853333514464085, 0.158120392928392, 0.14923454410130588, 0.16235768019591434, 0.13746834248237383, 0.16254492869363807, 0.1674313279442828, 0.1512503040045149, 0.14754175618898882, 0.14937170463877583, 0.15873650807233283, 0.168686974790676, 0.15566811776508288, 0.15778043352150675, 0.15988422498016672, 0.15397204697346367, 0.15543282515272314, 0.16141090278968462, 0.16286011688647706, 0.1604696437799233, 0.17268613850955822, 0.16273115031484242, 0.14520134609585725, 0.1423636772849393, 0.17710335529374088, 0.16770879071607267, 0.15591839213188452, 0.1724675935576016, 0.16326805033227845, 0.1626950943301211, 0.16244446963937356, 0.1580153630650162, 0.16131034517289555, 0.14195761602589452, 0.17404830407632976, 0.15676143681075058, 0.1765219191753546, 0.16322166986656064, 0.15007462291938403, 0.13895731210445336, 0.150161585978264, 0.16716075950773154, 0.15352266523061003, 0.15063635330159347, 0.1413091901479133, 0.16575829535343042, 0.15542569342906226, 0.15663268366194144, 0.17728157405368664, 0.14736037954713985, 0.17562047706428438, 0.16240604236348688, 0.15298479473621843, 0.16878544079365634, 0.18324542172069644, 0.15608773761737804, 0.1396698936790549, 0.1477558869573289, 0.17931735461113538, 0.15418465289780117, 0.1723228237516412, 0.15760225730399283, 0.16275567327211524, 0.15849474423449664, 0.16811987703833522, 0.1790628136032158, 0.1433250855904797, 0.1695167088696702, 0.14606496892022877, 0.14271084632229208, 0.14143348494676797, 0.1664712158796128, 0.17013350124189222, 0.15341075927135805, 0.149126266095461, 0.15882161401379916, 0.14804075160024857, 0.16312041175272537, 0.17169074599452286, 0.16168864110779974, 0.1489654259025484, 0.16123211636800824, 0.1559358010546612, 0.16533984524100087, 0.15925788031967578, 0.18505805756139396, 0.1590797970240706, 0.14422008108701975, 0.15721033287653458, 0.14805241281362969, 0.14146185517043022, 0.16599467590299183, 0.13968923604288594, 0.16318237337384814, 0.16290583479964393, 0.16785829763508234, 0.18359517836863998]",0.15882365623380446,0.010942466740388445,465
6,SSp-bfd,0.05442900649395988,0.21342105116543328,2,"[0.14976647276476793, 0.22510639296697454, 0.23902807710718058, 0.21866126267399855, 0.21505565642637695, 0.24447077583247406, 0.23638457226852905, 0.24128950782825107, 0.20076604345011684, 0.24600504962046774, 0.22357600655257168, 0.23347327500065607, 0.2266744878708703, 0.1643398409524779, 0.2180211063592436, 0.24698614734078403, 0.22172898242226347, 0.21185678511584763, 0.21262028169557742, 0.24215805152400643, 0.2222685619921022, 0.23005047384656951, 0.23204659896649557, 0.1884782456674184, 0.22289868221335504, 0.2054575226543346, 0.2229814247337078, 0.22031889271539723, 0.15701495264067716, 0.14623541273347587, 0.20324715310436053, 0.21106373882859172, 0.21247104680282305, 0.1442908924457034, 0.20349841876845604, 0.2094145326672203, 0.222832460323476, 0.20981034193837958, 0.22200019874479907, 0.21555553445160092, 0.216450596409961, 0.2330663584541008, 0.21861721294180453, 0.21167280405435496, 0.175896264533972, 0.15480884700360292, 0.2184539983952588, 0.19982483956147004, 0.19869506204195328, 0.24026262274820814, 0.2440139693899302, 0.222760814264793, 0.2265377085156893, 0.1676891442986491, 0.2192540674905553, 0.22079488646910153, 0.15963419903133713, 0.17263918462973027, 0.20890312552872464, 0.22916745508522193, 0.21584310568135104, 0.2272493562459933, 0.23187919932403298, 0.22636803022910718, 0.22821795626939656, 0.21130557357555754, 0.21612999180711723, 0.21706429929995474, 0.21854802193242243, 0.15878495559780878, 0.24317728228340227, 0.21359412460866758, 0.25261680740004905, 0.2034264174481377, 0.20856487688237096, 0.21200639914126437, 0.24158532481631803, 0.1550723979120341, 0.18039701680926734, 0.23198024155908198, 0.23985612978965343, 0.211143230858214, 0.1972101238372916, 0.24936907358844398, 0.1553808505446633, 0.23682949371478754, 0.1960409486049896, 0.20135097877537114, 0.209265516134605, 0.21165058797745936, 0.21227968879607187, 0.14585262651760972, 0.22061246951313448, 0.2190466552464374, 0.1902234383271473, 0.2467260203905316, 0.2289807831185212, 0.22985601754931148, 0.23972606425189344, 0.20511949129486573]",0.2119937859051514,0.02622251171239507,185
7,SSs,0.12215422158299827,0.1826084159434286,5,"[0.21471652174618724, 0.2693223815129296, 0.24559898337375413, 0.24742154620940515, 0.2644287292535516, 0.17253580988652562, 0.17666353618072844, 0.24312248249331064, 0.17204108734785428, 0.1669113520180291, 0.26647448293589016, 0.1620300382122673, 0.15119109545124246, 0.17472959154103387, 0.25730905143171645, 0.1900483741970638, 0.15060700573217178, 0.1447719459450782, 0.16641712309581502, 0.16776908928529594, 0.152069654076218, 0.16191147014620852, 0.17336952183894722, 0.15621922254097328, 0.23116722126445366, 0.15721238879931526, 0.1593925394076603, 0.17875173277507855, 0.16631801649806258, 0.19166183908537374, 0.17431905520315627, 0.17528611891750703, 0.15403759996661662, 0.1562761978306651, 0.17885079951851587, 0.1537363628122858, 0.1747239160454396, 0.1561948967691423, 0.16030133511017916, 0.15389657747298485, 0.16650267843983604, 0.1762237371135669, 0.15057381916080942, 0.15270351212863814, 0.17337876515486247, 0.1667987812768678, 0.16347121476617008, 0.1755068838916996, 0.15887674602237153, 0.1444371134658776, 0.16989661340335266, 0.15625897172036468, 0.18452839742940427, 0.1499866128150025, 0.1526497217328378, 0.26826311315416657, 0.15566278435565303, 0.18090701474352375, 0.15578492299765823, 0.1564758037764678, 0.16735159988490855, 0.1654060375809443, 0.13760434131682797, 0.1435831316675351, 0.17352681380684795, 0.25122941012425365, 0.2618924176415901, 0.17214713215687794, 0.17421950845253847, 0.22559570743443133, 0.2422158294725056, 0.1921572150998612, 0.16964470975149581, 0.22870947520661034, 0.16860900644708174, 0.1535987160861046, 0.1658639329857662, 0.1504387494842748, 0.17073804913075044, 0.16107333628912585, 0.15352667973322937, 0.1645297005425282, 0.14836966731845333, 0.17544016830630396, 0.15437069964848302, 0.16655182057248458, 0.1758762699792328, 0.1715340822360039, 0.18451111473805154, 0.16982012848518147, 0.17251766895808626, 0.18084553950308974, 0.248766479073708, 0.16340654120793446, 0.1702897232679137, 0.15713082198777525, 0.16947085844598211, 0.17028829785456118, 0.17889924147547484, 0.18119028226333306]",0.1786163480709591,0.0326805559458874,269
8,SSp-tr,0.978423495081135,0.2180858687794871,4,"[0.16043497943011706, 0.17311162829526153, 0.19029697716727875, 0.20804180879558326, 0.21347142456295054, 0.2186312292145393, 0.2028583496244171, 0.1705928228877777, 0.2055388904841508, 0.1781911450665053, 0.22685094669266792, 0.2214943358292487, 0.21300471904382315, 0.21017541009698495, 0.2289816468462021, 0.1949130577797558, 0.16264303342766623, 0.1839860454064532, 0.2523995387795898, 0.2117483086933051, 0.1910321964572913, 0.19778167611252376, 0.20289255463213002, 0.2229220832985721, 0.2224363540736413, 0.18177422947005703, 0.22918396741064936, 0.2106493127781555, 0.21017007608446334, 0.20940123034534147, 0.212655480205447, 0.20685050238454078, 0.21709877207253434, 0.1799981416518839, 0.24048177244817195, 0.19631971527478845, 0.18829838180104796, 0.1742354925452554, 0.2039836463610234, 0.20833940386715363, 0.2080729013472246, 0.22212489995629503, 0.2337725950118858, 0.21037719746169523, 0.18486298734403803, 0.2514619727534346, 0.20122554509078822, 0.1712039153516405, 0.1755132751561727, 0.215423905017696, 0.18663641488869268, 0.20663718128246986, 0.22858200047812516, 0.17030878118995293, 0.18891466198854168, 0.20281405717704998, 0.19044928482957585, 0.18382330469596492, 0.2155465930834973, 0.17168747373869434, 0.1774044664488221, 0.19156998379644946, 0.1766371813839455, 0.1890030259284191, 0.22768516857652796, 0.20112637456352517, 0.19887753656417906, 0.1774137935448081, 0.19461697829899896, 0.20218726218080557, 0.17483969972241847, 0.18876525178889667, 0.184047056364005, 0.21033639517989083, 0.2061487812135656, 0.17115742432533415, 0.18597657423948186, 0.21320948125757708, 0.18343293190672652, 0.19219941502950444, 0.2003884321869845, 0.18138482022771613, 0.20820413030165447, 0.25062260014048077, 0.19502917795247024, 0.1893652510856956, 0.20504226798339667, 0.16018436870118594, 0.19506020435179078, 0.17256587490351458, 0.19053115318460614, 0.1890924103284006, 0.20646967237412717, 0.18625057026277309, 0.19729519136379972, 0.17011854191810497, 0.1713944159532341, 0.18934825550020712, 0.17051168237782174, 0.20550693466821715]",0.1983431097332245,0.020178132624079567,92
9,MOp,0.03512297531701499,0.12404829035295005,6,"[0.12387945757026467, 0.1244186621569892, 0.12722256426533374, 0.11822663308903608, 0.12691082054899744, 0.12341455748962792, 0.11752028299497555, 0.12655837536718448, 0.12403313978048465, 0.11589215279917199, 0.12466474270682304, 0.12131188918292728, 0.13719076873483252, 0.11720348016952349, 0.12655242046761636, 0.12140775602868276, 0.12691095519472392, 0.12207973820841335, 0.1198179324222675, 0.11777370061606501, 0.1221887764208498, 0.1254834995142851, 0.12204319167935564, 0.11911556973114697, 0.12200783422100504, 0.12527132544971192, 0.12014208849994151, 0.12175648903830988, 0.1223045854666079, 0.1256009641954204, 0.12366120836993527, 0.12904871850061703, 0.12386789568584892, 0.11668850459396958, 0.12048852894160787, 0.13121240145280777, 0.12214999393203568, 0.1285886051850684, 0.11758428547754671, 0.12711029493338885, 0.1291995758415871, 0.12301826938900326, 0.1338415355830448, 0.11881403738326479, 0.11847893397272183, 0.1198032792484267, 0.12591211742192163, 0.1255786110146193, 0.12965931665558064, 0.12885462589551547, 0.12147689271642147, 0.12287996053873808, 0.12165892132725696, 0.1281604396458504, 0.13450305731398912, 0.12792365223346683, 0.1226033971717463, 0.120996931585912, 0.12242348441837367, 0.12402955164350735, 0.11927539029861987, 0.12836896110176046, 0.12236970614369791, 0.12854308213499024, 0.11947489745523951, 0.12288490152359736, 0.12468836470578977, 0.12348861706109693, 0.1189142679225571, 0.1227310223664599, 0.12693230687765114, 0.12252240708175806, 0.12702430560091696, 0.12539970774057835, 0.12251118996068348, 0.12817770325172304, 0.12485112784199497, 0.11475295884685306, 0.1229702906463649, 0.12720843629869424, 0.1291364505684312, 0.13015512717175617, 0.12392073472407593, 0.13065886779363864, 0.126854641497166, 0.11535143320093269, 0.11872052465271855, 0.12326067331245666, 0.12393691404705041, 0.12205460189510232, 0.12324425003924964, 0.1242540951982228, 0.12746680261624513, 0.11680734883194246, 0.13041957519488395, 0.1269005631457405, 0.12166942443328709, 0.12593799102180991, 0.12551221437467958, 0.1214585093867643]",0.12389931770051531,0.004241458791293628,754
